101,BBC ONE,This Is Your Life,7:30,The Crime Squad,0,2,http://52.142.166.37:14101/,,With the aid of his famous red book Michael Aspel springs more surprises on a variety of guests from all walks of life.,,
102,BBC TWO,Due South,7:10,Millennium: A Thousand Years of History,0,2,http://52.142.166.37:14102/,,A rerun of the first-ever series begins with a two-part pilot episode that concludes next Monday.,,
103,ITV,,12:00,,0,2,http://52.142.166.37:14103/,,,,
104,Channel 4,,12:00,,0,2,http://52.142.166.37:14104/,,,,
105,Channel 5,,12:00,,0,2,http://52.142.166.37:14105/,,,,
106,Sky One,The Simpsons,8:00,Star Trek: Deep Space Nine,0,2,http://52.142.166.37:14106/,,Double Bill. Homer becomes the team mascot for the local minor baseball league then Lisa accurately predicts the winners of sporting events on which Homer gambles,,
107,UKGold,Bread,7:40,,0,2,http://52.142.166.37:14107/,,,,
108,UKGold Classic,,12:00,,0,2,http://52.142.166.37:14108/,,,,
109,Living,,12:00,,0,2,,,,,
110,Disney,,12:00,,0,6,http://52.142.166.37:14110/,,,,
111,Granada Plus,Cagney And Lacey,8:00,The Sweeney,0,2,,Cagney goes undercover with Detective Jonah Newman,,,
112,Family Channel,,12:00,,0,2,http://52.142.166.37:14112/,,,,
113,Bravo,,12:00,,0,2,http://52.142.166.37:14113/,,,,
114,Paramount,,12:00,,0,2,http://52.142.166.37:14114/,,,,
115,SciFi,,12:00,,0,2,http://52.142.166.37:14115/,,,,
116,Discovery Home & Leisure,,12:00,,0,7,http://52.142.166.37:14116/,,,,
117,Granada Breeze,Donny And Marie,7:55,Intimate Portrait,0,7,http://52.142.166.37:14117/,,With guests Rob Reiner and Angie Everhart,,
118,Granada Men & Motors,,12:00,,0,7,http://52.142.166.37:14118/,,,,
119,Sky Soap,,12:00,,0,2,http://52.142.166.37:14119/,,,,
120,Sky Travel,,12:00,,0,7,http://52.142.166.37:14120/,,,,
121,UK Style,Style Street,7:30,Can't Cook Won't Cook,0,7,http://52.142.166.37:14121/,,Coming from Berwick St James Salisbury,,
122,UK Arena,,12:00,,0,5,http://52.142.166.37:14122/,,,,
123,BBC Choice,110 Per Cent Sport,7:30,BBC Catchup Leisure,0,2,http://52.142.166.37:14123/,,Mary Rhodes and the latest sports news,,W
124,Tara,,12:00,,0,4,http://52.142.166.37:14124/,,,,
125,Sky Premier,Barry Norman's Film Night,8:00,Route 9,0,3,http://52.142.166.37:14125/,,More movie news reviews and interviews with top stars,,
126,Sky Premier 2,,12:00,,0,3,http://52.142.166.37:14126/,,,,
